"Date","Price","Open","High","Low","Vol.","Change %"
"10/21/2022","0.9860","0.9786","0.9869","0.9704","","0.79%"
"10/20/2022","0.9783","0.9773","0.9846","0.9754","","0.12%"
"10/19/2022","0.9771","0.9858","0.9873","0.9757","","-0.82%"
"10/18/2022","0.9852","0.9838","0.9876","0.9812","","0.14%"
"10/17/2022","0.9838","0.9726","0.9853","0.9719","","1.22%"
"10/14/2022","0.9719","0.9778","0.9809","0.9707","","-0.55%"
"10/13/2022","0.9773","0.9702","0.9807","0.9632","","0.71%"
"10/12/2022","0.9704","0.9708","0.9735","0.9668","","0.01%"
"10/11/2022","0.9703","0.9700","0.9776","0.9672","","0.03%"
"10/10/2022","0.9700","0.9736","0.9754","0.9682","","-0.42%"
"10/07/2022","0.9741","0.9790","0.9818","0.9725","","-0.48%"
"10/06/2022","0.9788","0.9879","0.9927","0.9787","","-0.95%"
"10/05/2022","0.9882","0.9986","0.9995","0.9834","","-1.01%"
"10/04/2022","0.9983","0.9826","1.0000","0.9805","","1.62%"
"10/03/2022","0.9824","0.9800","0.9845","0.9753","","0.26%"
"09/30/2022","0.9799","0.9816","0.9855","0.9735","","-0.15%"
"09/29/2022","0.9814","0.9735","0.9816","0.9635","","0.82%"
"09/28/2022","0.9734","0.9594","0.9751","0.9535","","1.48%"
"09/27/2022","0.9592","0.9610","0.9671","0.9568","","-0.15%"
"09/26/2022","0.9606","0.9679","0.9711","0.9567","","-0.87%"
"09/23/2022","0.9690","0.9837","0.9852","0.9668","","-1.48%"
"09/22/2022","0.9836","0.9837","0.9908","0.9808","","-0.01%"
"09/21/2022","0.9837","0.9972","0.9978","0.9813","","-1.33%"
"09/20/2022","0.9970","1.0023","1.0051","0.9955","","-0.52%"
"09/19/2022","1.0022","1.0012","1.0030","0.9966","","0.07%"
"09/16/2022","1.0015","1.0001","1.0037","0.9944","","0.16%"
"09/15/2022","0.9999","0.9980","1.0019","0.9955","","0.22%"
"09/14/2022","0.9977","0.9969","1.0024","0.9955","","0.07%"
"09/13/2022","0.9970","1.0123","1.0188","0.9966","","-1.47%"
"09/12/2022","1.0119","1.0080","1.0199","1.0059","","0.80%"
"09/09/2022","1.0039","0.9995","1.0114","0.9995","","0.45%"
"09/08/2022","0.9994","1.0002","1.0030","0.9930","","-0.05%"
"09/07/2022","0.9999","0.9904","1.0012","0.9875","","0.98%"
"09/06/2022","0.9902","0.9927","0.9987","0.9863","","-0.24%"
"09/05/2022","0.9926","0.9950","0.9950","0.9877","","-0.25%"
"09/02/2022","0.9951","0.9945","1.0035","0.9942","","0.07%"
"09/01/2022","0.9944","1.0055","1.0057","0.9911","","-1.12%"
"08/31/2022","1.0057","1.0014","1.0079","0.9971","","0.45%"
"08/30/2022","1.0012","0.9996","1.0056","0.9981","","0.17%"
"08/29/2022","0.9995","0.9977","1.0029","0.9913","","0.34%"
"08/26/2022","0.9961","0.9974","1.0091","0.9947","","-0.13%"
"08/25/2022","0.9974","0.9967","1.0035","0.9948","","0.09%"
"08/24/2022","0.9965","0.9970","1.0000","0.9909","","-0.02%"
"08/23/2022","0.9967","0.9944","1.0019","0.9900","","0.26%"
"08/22/2022","0.9941","1.0041","1.0048","0.9926","","-0.93%"
"08/19/2022","1.0034","1.0089","1.0096","1.0031","","-0.54%"
"08/18/2022","1.0088","1.0180","1.0194","1.0079","","-0.90%"
"08/17/2022","1.0180","1.0170","1.0203","1.0145","","0.10%"
"08/16/2022","1.0170","1.0162","1.0195","1.0122","","0.10%"
"08/15/2022","1.0160","1.0263","1.0270","1.0155","","-0.96%"
"08/12/2022","1.0258","1.0316","1.0329","1.0237","","-0.57%"
"08/11/2022","1.0317","1.0299","1.0366","1.0275","","0.19%"
"08/10/2022","1.0297","1.0214","1.0369","1.0201","","0.84%"
"08/09/2022","1.0211","1.0198","1.0248","1.0188","","0.16%"
"08/08/2022","1.0195","1.0179","1.0223","1.0158","","0.14%"
"08/05/2022","1.0181","1.0247","1.0253","1.0141","","-0.61%"
"08/04/2022","1.0243","1.0162","1.0254","1.0154","","0.78%"
"08/03/2022","1.0164","1.0166","1.0210","1.0122","","0.00%"
"08/02/2022","1.0164","1.0261","1.0295","1.0163","","-0.95%"
"08/01/2022","1.0261","1.0218","1.0276","1.0205","","0.42%"
"07/29/2022","1.0218","1.0196","1.0255","1.0145","","0.22%"
"07/28/2022","1.0196","1.0198","1.0236","1.0114","","-0.06%"
"07/27/2022","1.0202","1.0116","1.0222","1.0096","","0.87%"
"07/26/2022","1.0114","1.0220","1.0251","1.0107","","-1.04%"
"07/25/2022","1.0220","1.0212","1.0259","1.0179","","0.10%"
"07/22/2022","1.0210","1.0230","1.0256","1.0129","","-0.18%"
"07/21/2022","1.0228","1.0178","1.0279","1.0153","","0.50%"
"07/20/2022","1.0177","1.0228","1.0274","1.0155","","-0.46%"
"07/19/2022","1.0224","1.0143","1.0270","1.0120","","0.82%"
"07/18/2022","1.0141","1.0085","1.0202","1.0078","","0.54%"
"07/15/2022","1.0087","1.0018","1.0099","1.0007","","0.71%"
"07/14/2022","1.0016","1.0061","1.0065","0.9952","","-0.44%"
"07/13/2022","1.0060","1.0040","1.0123","0.9998","","0.24%"
"07/12/2022","1.0036","1.0040","1.0074","0.9999","","-0.03%"
"07/11/2022","1.0039","1.0173","1.0185","1.0034","","-1.41%"
"07/08/2022","1.0183","1.0159","1.0193","1.0072","","0.24%"
"07/07/2022","1.0159","1.0181","1.0222","1.0144","","-0.22%"
"07/06/2022","1.0181","1.0268","1.0277","1.0161","","-0.83%"
"07/05/2022","1.0266","1.0419","1.0450","1.0235","","-1.49%"
"07/04/2022","1.0421","1.0424","1.0464","1.0417","","-0.07%"
"07/01/2022","1.0428","1.0481","1.0487","1.0366","","-0.52%"
"06/30/2022","1.0482","1.0441","1.0489","1.0382","","0.41%"
"06/29/2022","1.0439","1.0518","1.0537","1.0434","","-0.75%"
"06/28/2022","1.0518","1.0585","1.0607","1.0503","","-0.61%"
"06/27/2022","1.0583","1.0555","1.0616","1.0549","","0.27%"
"06/24/2022","1.0554","1.0526","1.0572","1.0511","","0.29%"
"06/23/2022","1.0523","1.0567","1.0582","1.0482","","-0.40%"
"06/22/2022","1.0565","1.0527","1.0606","1.0468","","0.38%"
"06/21/2022","1.0525","1.0510","1.0583","1.0508","","0.15%"
"06/20/2022","1.0509","1.0472","1.0546","1.0472","","0.10%"
"06/17/2022","1.0498","1.0548","1.0560","1.0445","","-0.46%"
"06/16/2022","1.0547","1.0442","1.0602","1.0381","","1.00%"
"06/15/2022","1.0443","1.0417","1.0509","1.0359","","0.28%"
"06/14/2022","1.0414","1.0411","1.0486","1.0396","","0.06%"
"06/13/2022","1.0408","1.0513","1.0520","1.0400","","-1.02%"
"06/10/2022","1.0515","1.0617","1.0644","1.0505","","-0.93%"
"06/09/2022","1.0614","1.0717","1.0775","1.0611","","-0.93%"
"06/08/2022","1.0714","1.0700","1.0749","1.0671","","0.14%"
"06/07/2022","1.0699","1.0695","1.0715","1.0652","","0.05%"
"06/06/2022","1.0694","1.0722","1.0753","1.0683","","-0.22%"
"06/03/2022","1.0718","1.0747","1.0765","1.0704","","-0.25%"
"06/02/2022","1.0745","1.0649","1.0751","1.0645","","0.93%"
"06/01/2022","1.0646","1.0734","1.0739","1.0626","","-0.81%"
"05/31/2022","1.0733","1.0778","1.0780","1.0678","","-0.41%"
"05/30/2022","1.0777","1.0737","1.0788","1.0726","","0.47%"
"05/27/2022","1.0727","1.0726","1.0766","1.0697","","0.03%"
"05/26/2022","1.0724","1.0684","1.0733","1.0662","","0.41%"
"05/25/2022","1.0680","1.0735","1.0740","1.0642","","-0.50%"
"05/24/2022","1.0734","1.0690","1.0749","1.0661","","0.42%"
"05/23/2022","1.0689","1.0572","1.0698","1.0558","","1.22%"
"05/20/2022","1.0560","1.0586","1.0599","1.0532","","-0.25%"
"05/19/2022","1.0586","1.0470","1.0608","1.0460","","1.15%"
"05/18/2022","1.0466","1.0549","1.0565","1.0460","","-0.77%"
"05/17/2022","1.0547","1.0434","1.0556","1.0429","","1.11%"
"05/16/2022","1.0431","1.0405","1.0444","1.0388","","0.19%"
"05/13/2022","1.0411","1.0379","1.0421","1.0350","","0.31%"
"05/12/2022","1.0379","1.0512","1.0530","1.0353","","-1.26%"
"05/11/2022","1.0511","1.0529","1.0577","1.0502","","-0.15%"
"05/10/2022","1.0527","1.0557","1.0586","1.0525","","-0.27%"
"05/09/2022","1.0555","1.0552","1.0594","1.0495","","0.04%"
"05/06/2022","1.0551","1.0544","1.0601","1.0482","","0.10%"
"05/05/2022","1.0540","1.0623","1.0642","1.0493","","-0.76%"
"05/04/2022","1.0621","1.0516","1.0632","1.0505","","0.96%"
"05/03/2022","1.0520","1.0502","1.0579","1.0491","","0.15%"
"05/02/2022","1.0504","1.0550","1.0569","1.0490","","-0.35%"
"04/29/2022","1.0541","1.0498","1.0593","1.0491","","0.45%"
"04/28/2022","1.0494","1.0557","1.0566","1.0471","","-0.58%"
"04/27/2022","1.0555","1.0638","1.0655","1.0513","","-0.76%"
"04/26/2022","1.0636","1.0713","1.0740","1.0635","","-0.70%"
"04/25/2022","1.0711","1.0841","1.0842","1.0697","","-0.77%"
"04/22/2022","1.0794","1.0838","1.0853","1.0770","","-0.39%"
"04/21/2022","1.0836","1.0853","1.0937","1.0824","","-0.13%"
"04/20/2022","1.0850","1.0788","1.0868","1.0783","","0.59%"
"04/19/2022","1.0786","1.0783","1.0815","1.0761","","0.06%"
"04/18/2022","1.0780","1.0805","1.0822","1.0769","","-0.24%"
"04/15/2022","1.0806","1.0828","1.0832","1.0796","","-0.19%"
"04/14/2022","1.0827","1.0887","1.0925","1.0757","","-0.53%"
"04/13/2022","1.0885","1.0830","1.0896","1.0809","","0.54%"
"04/12/2022","1.0826","1.0882","1.0905","1.0821","","-0.52%"
"04/11/2022","1.0883","1.0935","1.0951","1.0872","","0.06%"
"04/08/2022","1.0876","1.0879","1.0892","1.0836","","-0.02%"
"04/07/2022","1.0878","1.0893","1.0939","1.0864","","-0.14%"
"04/06/2022","1.0893","1.0906","1.0939","1.0874","","-0.09%"
"04/05/2022","1.0903","1.0973","1.0990","1.0899","","-0.61%"
"04/04/2022","1.0970","1.1039","1.1056","1.0960","","-0.75%"
"04/01/2022","1.1053","1.1065","1.1077","1.1027","","-0.11%"
"03/31/2022","1.1065","1.1158","1.1185","1.1061","","-0.82%"
"03/30/2022","1.1156","1.1087","1.1171","1.1083","","0.64%"
"03/29/2022","1.1085","1.0980","1.1137","1.0970","","0.97%"
"03/28/2022","1.0978","1.0989","1.1000","1.0944","","-0.03%"
"03/25/2022","1.0981","1.0994","1.1039","1.0979","","-0.14%"
"03/24/2022","1.0996","1.1004","1.1014","1.0965","","-0.07%"
"03/23/2022","1.1004","1.1027","1.1044","1.0963","","-0.21%"
"03/22/2022","1.1027","1.1018","1.1047","1.0960","","0.12%"
"03/21/2022","1.1014","1.1059","1.1070","1.1010","","-0.37%"
"03/18/2022","1.1055","1.1091","1.1120","1.1003","","-0.31%"
"03/17/2022","1.1089","1.1036","1.1138","1.1008","","0.52%"
"03/16/2022","1.1032","1.0956","1.1048","1.0948","","0.74%"
"03/15/2022","1.0951","1.0940","1.1020","1.0926","","0.11%"
"03/14/2022","1.0939","1.0943","1.0994","1.0900","","0.28%"
"03/11/2022","1.0909","1.0984","1.1044","1.0901","","-0.67%"
"03/10/2022","1.0983","1.1075","1.1121","1.0976","","-0.83%"
"03/09/2022","1.1075","1.0903","1.1096","1.0890","","1.61%"
"03/08/2022","1.0899","1.0855","1.0960","1.0848","","0.43%"
"03/07/2022","1.0852","1.0953","1.0953","1.0805","","-0.68%"
"03/04/2022","1.0926","1.1068","1.1069","1.0886","","-1.25%"
"03/03/2022","1.1064","1.1118","1.1125","1.1033","","-0.51%"
"03/02/2022","1.1121","1.1127","1.1147","1.1057","","-0.04%"
"03/01/2022","1.1126","1.1218","1.1234","1.1090","","-0.83%"
"02/28/2022","1.1219","1.1179","1.1247","1.1122","","-0.43%"
"02/25/2022","1.1267","1.1192","1.1275","1.1165","","0.68%"
"02/24/2022","1.1191","1.1313","1.1314","1.1106","","-1.04%"
"02/23/2022","1.1309","1.1327","1.1359","1.1300","","-0.14%"
"02/22/2022","1.1325","1.1312","1.1367","1.1287","","0.13%"
"02/21/2022","1.1310","1.1315","1.1391","1.1306","","-0.10%"
"02/18/2022","1.1321","1.1362","1.1378","1.1314","","-0.34%"
"02/17/2022","1.1360","1.1374","1.1386","1.1322","","-0.11%"
"02/16/2022","1.1373","1.1360","1.1396","1.1344","","0.15%"
"02/15/2022","1.1356","1.1307","1.1369","1.1301","","0.45%"
"02/14/2022","1.1305","1.1344","1.1370","1.1279","","-0.39%"
"02/11/2022","1.1349","1.1428","1.1431","1.1329","","-0.68%"
"02/10/2022","1.1427","1.1429","1.1496","1.1374","","0.04%"
"02/09/2022","1.1422","1.1416","1.1449","1.1402","","0.07%"
"02/08/2022","1.1414","1.1443","1.1450","1.1395","","-0.24%"
"02/07/2022","1.1442","1.1468","1.1469","1.1415","","-0.03%"
"02/04/2022","1.1446","1.1439","1.1485","1.1411","","0.07%"
"02/03/2022","1.1438","1.1306","1.1452","1.1267","","1.19%"
"02/02/2022","1.1303","1.1270","1.1331","1.1266","","0.30%"
"02/01/2022","1.1269","1.1234","1.1279","1.1221","","0.32%"
"01/31/2022","1.1233","1.1147","1.1249","1.1138","","0.81%"
"01/28/2022","1.1143","1.1146","1.1174","1.1121","","0.00%"
"01/27/2022","1.1143","1.1240","1.1244","1.1132","","-0.84%"
"01/26/2022","1.1237","1.1301","1.1312","1.1235","","-0.55%"
"01/25/2022","1.1299","1.1324","1.1330","1.1263","","-0.21%"
"01/24/2022","1.1323","1.1343","1.1346","1.1290","","-0.15%"
"01/21/2022","1.1340","1.1312","1.1360","1.1300","","0.27%"
"01/20/2022","1.1310","1.1342","1.1370","1.1302","","-0.27%"
"01/19/2022","1.1341","1.1321","1.1358","1.1318","","0.14%"
"01/18/2022","1.1325","1.1408","1.1422","1.1314","","-0.72%"
"01/17/2022","1.1407","1.1414","1.1436","1.1392","","-0.06%"
"01/14/2022","1.1414","1.1454","1.1484","1.1398","","-0.34%"
"01/13/2022","1.1453","1.1443","1.1482","1.1435","","0.10%"
"01/12/2022","1.1442","1.1366","1.1453","1.1354","","0.69%"
"01/11/2022","1.1364","1.1325","1.1375","1.1313","","0.35%"
"01/10/2022","1.1324","1.1353","1.1362","1.1285","","-0.31%"
"01/07/2022","1.1359","1.1293","1.1365","1.1289","","0.60%"
"01/06/2022","1.1291","1.1314","1.1332","1.1285","","-0.19%"
"01/05/2022","1.1313","1.1287","1.1347","1.1277","","0.25%"
"01/04/2022","1.1285","1.1298","1.1323","1.1272","","-0.08%"
"01/03/2022","1.1294","1.1365","1.1381","1.1279","","-0.65%"
"12/31/2021","1.1368","1.1324","1.1387","1.1302","","0.40%"
"12/30/2021","1.1323","1.1349","1.1360","1.1298","","-0.22%"
"12/29/2021","1.1348","1.1310","1.1370","1.1273","","0.34%"
"12/28/2021","1.1309","1.1329","1.1335","1.1289","","-0.14%"
"12/27/2021","1.1325","1.1318","1.1335","1.1302","","0.07%"
"12/24/2021","1.1317","1.1330","1.1344","1.1303","","-0.10%"
"12/23/2021","1.1328","1.1325","1.1343","1.1289","","0.04%"
"12/22/2021","1.1324","1.1279","1.1343","1.1264","","0.36%"
"12/21/2021","1.1283","1.1277","1.1303","1.1260","","0.07%"
"12/20/2021","1.1275","1.1242","1.1305","1.1234","","0.32%"
"12/17/2021","1.1239","1.1330","1.1350","1.1235","","-0.79%"
"12/16/2021","1.1328","1.1286","1.1361","1.1280","","0.38%"
"12/15/2021","1.1285","1.1259","1.1300","1.1221","","0.25%"
"12/14/2021","1.1257","1.1285","1.1327","1.1253","","-0.23%"
"12/13/2021","1.1283","1.1316","1.1321","1.1259","","-0.25%"
"12/10/2021","1.1311","1.1293","1.1325","1.1264","","0.17%"
"12/09/2021","1.1292","1.1342","1.1348","1.1278","","-0.44%"
"12/08/2021","1.1342","1.1267","1.1356","1.1264","","0.70%"
"12/07/2021","1.1263","1.1287","1.1301","1.1228","","-0.19%"
"12/06/2021","1.1285","1.1321","1.1321","1.1266","","-0.25%"
"12/03/2021","1.1313","1.1301","1.1334","1.1265","","0.12%"
"12/02/2021","1.1299","1.1320","1.1349","1.1294","","-0.18%"
"12/01/2021","1.1319","1.1339","1.1360","1.1302","","-0.15%"
"11/30/2021","1.1336","1.1291","1.1384","1.1236","","0.40%"
"11/29/2021","1.1291","1.1309","1.1316","1.1258","","-0.23%"
"11/26/2021","1.1317","1.1209","1.1331","1.1205","","0.99%"
"11/25/2021","1.1206","1.1198","1.1231","1.1198","","0.08%"
"11/24/2021","1.1197","1.1248","1.1256","1.1185","","-0.44%"
"11/23/2021","1.1246","1.1237","1.1276","1.1226","","0.11%"
"11/22/2021","1.1234","1.1292","1.1293","1.1230","","-0.48%"
"11/19/2021","1.1288","1.1371","1.1374","1.1250","","-0.71%"
"11/18/2021","1.1369","1.1319","1.1375","1.1314","","0.44%"
"11/17/2021","1.1319","1.1321","1.1333","1.1264","","0.00%"
"11/16/2021","1.1319","1.1368","1.1386","1.1309","","-0.42%"
"11/15/2021","1.1367","1.1452","1.1465","1.1356","","-0.72%"
"11/12/2021","1.1450","1.1454","1.1463","1.1432","","0.00%"
"11/11/2021","1.1450","1.1482","1.1488","1.1443","","-0.24%"
"11/10/2021","1.1478","1.1593","1.1596","1.1475","","-0.97%"
"11/09/2021","1.1591","1.1588","1.1609","1.1569","","0.04%"
"11/08/2021","1.1586","1.1555","1.1595","1.1550","","0.17%"
"11/05/2021","1.1566","1.1553","1.1574","1.1513","","0.12%"
"11/04/2021","1.1552","1.1611","1.1617","1.1528","","-0.50%"
"11/03/2021","1.1610","1.1579","1.1617","1.1561","","0.29%"
"11/02/2021","1.1577","1.1605","1.1615","1.1574","","-0.25%"
"11/01/2021","1.1606","1.1559","1.1610","1.1545","","0.39%"
"10/29/2021","1.1561","1.1680","1.1690","1.1535","","-1.01%"
"10/28/2021","1.1679","1.1605","1.1693","1.1581","","0.65%"
"10/27/2021","1.1604","1.1597","1.1626","1.1585","","0.08%"
"10/26/2021","1.1595","1.1607","1.1626","1.1585","","-0.09%"
"10/25/2021","1.1606","1.1644","1.1666","1.1590","","-0.35%"
"10/22/2021","1.1647","1.1623","1.1656","1.1621","","0.22%"
"10/21/2021","1.1621","1.1650","1.1668","1.1619","","-0.24%"
"10/20/2021","1.1649","1.1634","1.1659","1.1616","","0.15%"
"10/19/2021","1.1632","1.1611","1.1670","1.1608","","0.20%"
"10/18/2021","1.1609","1.1597","1.1624","1.1571","","0.08%"
"10/15/2021","1.1600","1.1599","1.1621","1.1588","","0.05%"
"10/14/2021","1.1594","1.1593","1.1625","1.1583","","0.02%"
"10/13/2021","1.1592","1.1528","1.1598","1.1527","","0.56%"
"10/12/2021","1.1527","1.1555","1.1571","1.1524","","-0.21%"
"10/11/2021","1.1551","1.1571","1.1588","1.1549","","-0.14%"
"10/08/2021","1.1567","1.1551","1.1586","1.1540","","0.15%"
"10/07/2021","1.1550","1.1556","1.1573","1.1547","","-0.05%"
"10/06/2021","1.1556","1.1603","1.1605","1.1529","","-0.34%"
"10/05/2021","1.1596","1.1623","1.1623","1.1580","","-0.22%"
"10/04/2021","1.1621","1.1593","1.1641","1.1587","","0.23%"
"10/01/2021","1.1594","1.1582","1.1608","1.1563","","0.11%"
"09/30/2021","1.1581","1.1596","1.1611","1.1562","","-0.12%"
"09/29/2021","1.1595","1.1683","1.1691","1.1589","","-0.74%"
"09/28/2021","1.1681","1.1696","1.1704","1.1667","","-0.11%"
"09/27/2021","1.1694","1.1724","1.1728","1.1684","","-0.17%"
"09/24/2021","1.1714","1.1738","1.1748","1.1700","","-0.19%"
"09/23/2021","1.1736","1.1686","1.1751","1.1683","","0.43%"
"09/22/2021","1.1686","1.1726","1.1757","1.1683","","-0.32%"
"09/21/2021","1.1723","1.1726","1.1751","1.1715","","-0.02%"
"09/20/2021","1.1725","1.1732","1.1737","1.1700","","0.00%"
"09/17/2021","1.1725","1.1762","1.1789","1.1724","","-0.33%"
"09/16/2021","1.1764","1.1816","1.1822","1.1751","","-0.43%"
"09/15/2021","1.1815","1.1806","1.1833","1.1798","","0.11%"
"09/14/2021","1.1802","1.1812","1.1846","1.1799","","-0.05%"
"09/13/2021","1.1808","1.1813","1.1818","1.1769","","-0.05%"
"09/10/2021","1.1814","1.1826","1.1852","1.1809","","-0.09%"
"09/09/2021","1.1825","1.1817","1.1842","1.1804","","0.10%"
"09/08/2021","1.1813","1.1840","1.1852","1.1802","","-0.22%"
"09/07/2021","1.1839","1.1870","1.1885","1.1837","","-0.24%"
"09/06/2021","1.1868","1.1879","1.1888","1.1855","","-0.12%"
"09/03/2021","1.1882","1.1875","1.1910","1.1866","","0.08%"
"09/02/2021","1.1873","1.1839","1.1877","1.1834","","0.30%"
"09/01/2021","1.1837","1.1810","1.1858","1.1793","","0.25%"
"08/31/2021","1.1807","1.1797","1.1848","1.1795","","0.10%"
"08/30/2021","1.1795","1.1793","1.1810","1.1782","","0.02%"
"08/27/2021","1.1793","1.1752","1.1803","1.1734","","0.37%"
"08/26/2021","1.1750","1.1772","1.1781","1.1746","","-0.17%"
"08/25/2021","1.1770","1.1754","1.1775","1.1725","","0.14%"
"08/24/2021","1.1753","1.1746","1.1766","1.1726","","0.09%"
"08/23/2021","1.1743","1.1694","1.1751","1.1691","","0.40%"
"08/20/2021","1.1696","1.1675","1.1705","1.1664","","0.19%"
"08/19/2021","1.1674","1.1711","1.1717","1.1666","","-0.31%"
"08/18/2021","1.1710","1.1710","1.1743","1.1694","","0.02%"
"08/17/2021","1.1708","1.1776","1.1786","1.1708","","-0.59%"
"08/16/2021","1.1777","1.1794","1.1802","1.1767","","-0.12%"
"08/13/2021","1.1791","1.1730","1.1805","1.1727","","0.55%"
"08/12/2021","1.1727","1.1738","1.1749","1.1724","","-0.09%"
"08/11/2021","1.1737","1.1720","1.1753","1.1705","","0.16%"
"08/10/2021","1.1718","1.1738","1.1744","1.1710","","-0.16%"
"08/09/2021","1.1737","1.1762","1.1769","1.1734","","-0.20%"
"08/06/2021","1.1760","1.1834","1.1837","1.1753","","-0.61%"
"08/05/2021","1.1832","1.1837","1.1858","1.1827","","-0.03%"
"08/04/2021","1.1835","1.1864","1.1901","1.1832","","-0.21%"
"08/03/2021","1.1860","1.1868","1.1894","1.1853","","-0.06%"
"08/02/2021","1.1867","1.1864","1.1897","1.1858","","-0.03%"
"07/30/2021","1.1870","1.1888","1.1910","1.1851","","-0.13%"
"07/29/2021","1.1886","1.1845","1.1894","1.1840","","0.37%"
"07/28/2021","1.1842","1.1817","1.1851","1.1773","","0.24%"
"07/27/2021","1.1814","1.1804","1.1841","1.1769","","0.13%"
"07/26/2021","1.1799","1.1778","1.1818","1.1763","","0.24%"
"07/23/2021","1.1771","1.1769","1.1788","1.1753","","0.01%"
"07/22/2021","1.1770","1.1793","1.1831","1.1757","","-0.19%"
"07/21/2021","1.1792","1.1782","1.1805","1.1752","","0.11%"
"07/20/2021","1.1779","1.1801","1.1805","1.1755","","-0.16%"
"07/19/2021","1.1798","1.1808","1.1825","1.1763","","-0.06%"
"07/16/2021","1.1805","1.1814","1.1823","1.1791","","-0.06%"
"07/15/2021","1.1812","1.1837","1.1852","1.1796","","-0.19%"
"07/14/2021","1.1835","1.1776","1.1839","1.1772","","0.52%"
"07/13/2021","1.1774","1.1862","1.1876","1.1772","","-0.72%"
"07/12/2021","1.1859","1.1872","1.1881","1.1836","","-0.12%"
"07/09/2021","1.1873","1.1844","1.1882","1.1825","","0.26%"
"07/08/2021","1.1842","1.1792","1.1868","1.1783","","0.45%"
"07/07/2021","1.1789","1.1823","1.1839","1.1782","","-0.28%"
"07/06/2021","1.1822","1.1863","1.1896","1.1806","","-0.33%"
"07/05/2021","1.1861","1.1862","1.1882","1.1851","","-0.03%"
"07/02/2021","1.1864","1.1849","1.1875","1.1806","","0.14%"
"07/01/2021","1.1848","1.1859","1.1885","1.1837","","-0.06%"
"06/30/2021","1.1855","1.1897","1.1910","1.1845","","-0.34%"
"06/29/2021","1.1895","1.1926","1.1932","1.1877","","-0.24%"
"06/28/2021","1.1924","1.1935","1.1946","1.1902","","-0.08%"
"06/25/2021","1.1933","1.1932","1.1976","1.1925","","0.03%"
"06/24/2021","1.1930","1.1927","1.1957","1.1918","","0.04%"
"06/23/2021","1.1925","1.1939","1.1970","1.1911","","-0.11%"
"06/22/2021","1.1938","1.1918","1.1954","1.1881","","0.19%"
"06/21/2021","1.1915","1.1868","1.1922","1.1847","","0.46%"
"06/18/2021","1.1860","1.1908","1.1926","1.1846","","-0.39%"
"06/17/2021","1.1906","1.1996","1.2007","1.1891","","-0.73%"
"06/16/2021","1.1994","1.2127","1.2135","1.1993","","-1.07%"
"06/15/2021","1.2124","1.2120","1.2149","1.2100","","0.05%"
"06/14/2021","1.2118","1.2110","1.2131","1.2093","","0.10%"
"06/11/2021","1.2106","1.2170","1.2196","1.2092","","-0.52%"
"06/10/2021","1.2169","1.2181","1.2195","1.2142","","-0.07%"
"06/09/2021","1.2178","1.2173","1.2219","1.2170","","0.06%"
"06/08/2021","1.2171","1.2190","1.2196","1.2163","","-0.15%"
"06/07/2021","1.2189","1.2168","1.2203","1.2145","","0.20%"
"06/04/2021","1.2165","1.2129","1.2186","1.2104","","0.34%"
"06/03/2021","1.2124","1.2210","1.2217","1.2118","","-0.70%"
"06/02/2021","1.2209","1.2214","1.2227","1.2163","","-0.02%"
"06/01/2021","1.2211","1.2227","1.2255","1.2211","","-0.11%"
"05/31/2021","1.2225","1.2192","1.2233","1.2183","","0.30%"
"05/28/2021","1.2189","1.2195","1.2205","1.2132","","-0.02%"
"05/27/2021","1.2192","1.2192","1.2216","1.2175","","0.02%"
"05/26/2021","1.2190","1.2251","1.2263","1.2182","","-0.49%"
"05/25/2021","1.2250","1.2217","1.2267","1.2211","","0.29%"
"05/24/2021","1.2215","1.2178","1.2230","1.2172","","0.30%"
"05/21/2021","1.2179","1.2228","1.2241","1.2161","","-0.38%"
"05/20/2021","1.2226","1.2171","1.2230","1.2169","","0.44%"
"05/19/2021","1.2172","1.2222","1.2246","1.2160","","-0.39%"
"05/18/2021","1.2220","1.2153","1.2234","1.2151","","0.57%"
"05/17/2021","1.2151","1.2140","1.2170","1.2126","","0.09%"
"05/14/2021","1.2140","1.2080","1.2150","1.2070","","0.51%"
"05/13/2021","1.2078","1.2073","1.2108","1.2050","","0.07%"
"05/12/2021","1.2069","1.2148","1.2153","1.2065","","-0.63%"
"05/11/2021","1.2146","1.2129","1.2182","1.2122","","0.14%"
"05/10/2021","1.2129","1.2161","1.2178","1.2127","","-0.28%"
"05/07/2021","1.2163","1.2066","1.2172","1.2053","","0.82%"
"05/06/2021","1.2064","1.2005","1.2072","1.1992","","0.49%"
"05/05/2021","1.2005","1.2013","1.2027","1.1985","","-0.07%"
"05/04/2021","1.2013","1.2064","1.2066","1.1998","","-0.40%"
"05/03/2021","1.2061","1.2031","1.2076","1.2012","","0.36%"
"04/30/2021","1.2018","1.2116","1.2127","1.2016","","-0.83%"
"04/29/2021","1.2118","1.2126","1.2150","1.2102","","-0.04%"
"04/28/2021","1.2123","1.2091","1.2135","1.2055","","0.27%"
"04/27/2021","1.2090","1.2086","1.2093","1.2056","","0.06%"
"04/26/2021","1.2083","1.2093","1.2118","1.2061","","-0.13%"
